DATE,CPIFABSL
2017-01-01,247.865
2017-02-01,248.443
2017-03-01,248.926
2017-04-01,249.288
2017-05-01,249.686
2017-06-01,249.538
2017-07-01,250.032
2017-08-01,250.249
2017-09-01,250.678
2017-10-01,250.919
2017-11-01,251.045
2017-12-01,251.479
2018-01-01,251.948
2018-02-01,251.961
2018-03-01,252.082
2018-04-01,252.686
2018-05-01,252.706
2018-06-01,253.068
2018-07-01,253.531
2018-08-01,253.814
2018-09-01,254.201
2018-10-01,254.064
2018-11-01,254.686
2018-12-01,255.529
2019-01-01,256.076
2019-02-01,256.916
2019-03-01,257.285
2019-04-01,257.026
2019-05-01,257.571
2019-06-01,257.707
2019-07-01,257.998
2019-08-01,258.158
2019-09-01,258.740
2019-10-01,259.216
2019-11-01,259.598
2019-12-01,259.970
2020-01-01,260.579
2020-02-01,261.412
2020-03-01,262.132
2020-04-01,265.702
2020-05-01,267.473
2020-06-01,268.841
2020-07-01,268.047
2020-08-01,268.373
2020-09-01,268.621
2020-10-01,269.164
2020-11-01,269.150
2020-12-01,270.015
2021-01-01,270.212
2021-02-01,270.604
2021-03-01,270.946
2021-04-01,271.933
